date	hive1812	hive1813	hive1820	hive1824
9/1/2018 6:35	47.83155607	34.46818687	40.36922523	42.03544331
9/1/2018 6:40	47.83418785	34.47096396	40.37200329	42.04068267
9/1/2018 6:45	47.83418785	34.47235251	40.36922523	42.04199251
9/1/2018 6:50	47.83813553	34.47235251	40.37200329	42.04592203
9/1/2018 6:55	47.83550374	34.47235251	40.37200329	42.04461219
9/1/2018 7:00	47.83418785	34.4751296	40.36459512	42.04897832
9/1/2018 7:05	47.83945142	34.47698099	40.3678362	42.03806299
9/1/2018 7:10	47.84120594	34.47975808	40.37200329	42.04897832
9/1/2018 7:15	47.84120594	34.47975808	40.37200329	42.05028816
9/1/2018 7:20	47.84252183	34.47698099	40.37339232	42.03937283
9/1/2018 7:25	47.84252183	34.47235251	40.36644717	42.03413347
9/1/2018 7:30	47.84383773	34.47698099	40.36644717	42.02976733
9/1/2018 7:35	47.84120594	34.47096396	40.36644717	42.03675315
9/1/2018 7:40	47.84120594	34.47374105	40.37200329	42.03806299
9/1/2018 7:45	47.84120594	34.47374105	40.37617039	42.02714765
9/1/2018 7:50	47.84252183	34.47235251	40.37061426	42.03151379
9/1/2018 7:55	47.82892428	34.4751296	40.38311555	42.02452797
9/1/2018 8:00	47.83024017	34.46540978	40.38635662	42.02583781
9/1/2018 8:05	47.82760839	34.46263268	40.38774565	42.01928861
9/1/2018 8:10	47.81927441	34.46263268	40.38635662	42.02452797
9/1/2018 8:15	47.81269495	34.46263268	40.38311555	42.02452797
9/1/2018 8:20	47.81137905	34.45106147	40.38033748	42.02321813
9/1/2018 8:25	47.81137905	34.45106147	40.37478136	42.01535909
9/1/2018 8:30	47.80436096	34.44689583	40.36644717	42.00444375
9/1/2018 8:35	47.7977815	34.43254752	40.36459512	42.01535909
9/1/2018 8:40	47.79120204	34.43254752	40.3678362	42.01928861
9/1/2018 8:45	47.78023628	34.42699333	40.3548719	42.02190829
9/1/2018 8:50	47.76927051	34.42560479	40.33912954	42.01099296
9/1/2018 8:55	47.74119814	34.42977043	40.33635148	42.0123028
9/1/2018 9:00	47.72102113	34.42838188	40.33635148	42.00182407
9/1/2018 9:05	47.68593068	34.42560479	40.32616524	41.99090874
9/1/2018 9:10	47.6547879	34.42421624	40.31783105	41.98828906
9/1/2018 9:15	47.63329499	34.41819921	40.30903385	41.99221858
9/1/2018 9:20	47.60346811	34.41264503	40.27523408	41.98043002
9/1/2018 9:25	47.56969354	34.41681066	40.32755428	41.98435954
9/1/2018 9:30	47.55083242	34.41681066	40.33774051	41.98566938
9/1/2018 9:35	47.53460309	34.41819921	40.33218438	41.98043002
9/1/2018 9:40	47.51442608	34.41125648	40.33496244	41.97475404
9/1/2018 9:45	47.50916251	34.41542212	40.33496244	41.98697922
9/1/2018 9:50	47.5104784	34.41125648	40.34051857	41.99221858
9/1/2018 9:55	47.5104784	34.41125648	40.34051857	41.99352842
9/1/2018 10:00	47.51179429	34.40847939	40.34931577	42.00313391
9/1/2018 10:05	47.50653072	34.40153666	40.35070481	42.00313391
9/1/2018 10:10	47.52276006	34.4057023	40.34931577	42.01797877
9/1/2018 10:15	47.52670774	34.40986793	40.359039	42.02583781
9/1/2018 10:20	47.55083242	34.40986793	40.37339232	42.03675315
9/1/2018 10:25	47.55741188	34.40709084	40.38774565	42.03544331
9/1/2018 10:30	47.03544136	34.40986793	40.39191275	42.06076689
9/1/2018 10:35	47.57802753	34.40986793	40.39469081	42.0677527
9/1/2018 10:40	47.58460699	34.4029252	40.38635662	42.07299206
9/1/2018 10:45	47.59557275	34.4057023	40.40024694	42.08085111
9/1/2018 10:50	47.60346811	34.40709084	40.41321124	42.08783692
9/1/2018 10:55	47.61969744	34.40153666	40.40487704	42.09307628
9/1/2018 11:00	47.63329499	34.4057023	40.42339747	42.09569596
9/1/2018 11:05	47.65215611	34.41125648	40.43173166	42.10923098
9/1/2018 11:10	47.65741968	34.4057023	40.43034263	42.1131605
9/1/2018 11:15	47.66706956	34.40709084	40.43034263	42.12407583
9/1/2018 11:20	47.65347201	34.39551962	40.4159893	42.13455456
9/1/2018 11:25	47.67101723	34.39413108	40.43589876	42.14154037
9/1/2018 11:30	47.69952823	34.39274253	40.45441918	42.15332893
9/1/2018 11:35	47.7047918	34.3857998	40.46182735	42.14677973
9/1/2018 11:40	47.71137126	34.3857998	40.44191789	42.16948363
9/1/2018 11:45	47.73593458	34.3857998	40.43867682	42.18039897
9/1/2018 11:50	47.69952823	34.37700568	40.43173166	42.18694817
9/1/2018 11:55	47.76400694	34.37839422	40.47155057	42.1913143
9/1/2018 12:00	47.77234092	34.36126882	40.48451487	42.20179303
9/1/2018 12:05	47.78418395	34.37006295	40.47016154	42.20877884
9/1/2018 12:10	47.78418395	34.37284004	40.4859039	42.22318708
9/1/2018 12:15	47.81006316	34.37561713	40.47895874	42.2301729
9/1/2018 12:20	47.77365682	34.37422859	40.47432863	42.21270836
9/1/2018 12:25	47.81401084	34.36589731	40.38172652	42.23803194
9/1/2018 12:30	47.82190619	34.36450876	40.49007099	42.24239808
9/1/2018 12:35	47.82190619	34.3172982	40.43034263	42.25025712
9/1/2018 12:40	47.84252183	34.36265737	40.49284906	42.24065162
9/1/2018 12:45	47.84910129	34.36728586	40.50859142	42.23541226
9/1/2018 12:50	47.85875117	34.34599482	40.50720239	42.24501776
9/1/2018 12:55	47.84383773	34.35432609	40.50442432	42.25680632
9/1/2018 13:00	47.73725047	34.351549	40.50859142	42.24501776
9/1/2018 13:05	47.88024407	34.35293755	40.50998045	42.25418664
9/1/2018 13:10	47.89515752	34.35293755	40.52711184	42.26379213
9/1/2018 13:15	47.87454187	34.33720069	40.49423809	42.27863699
9/1/2018 13:20	47.90568465	34.34599482	40.52711184	42.25680632
9/1/2018 13:25	47.92322988	34.35016045	40.52988991	42.27296102
9/1/2018 13:30	47.90831644	34.34275488	40.50859142	42.2755807
9/1/2018 13:35	47.92322988	34.32562947	40.53127894	42.26510197
9/1/2018 13:40	47.91270274	34.32424093	40.49007099	42.27994683
9/1/2018 13:45	47.91401864	34.34275488	40.49146003	42.27427086
9/1/2018 13:50	47.92717756	34.32562947	40.50303529	42.26772165
9/1/2018 13:55	47.92586167	34.34599482	40.51599959	42.27034133
9/1/2018 14:00	47.92717756	34.30711553	40.41043317	42.24370792
9/1/2018 14:05	47.90831644	34.33858924	40.54979936	42.26772165
9/1/2018 14:10	47.95174088	34.33025796	40.52711184	42.27732715
9/1/2018 14:15	47.94910909	34.29184152	40.52155572	42.27034133
9/1/2018 14:20	47.93814333	34.32146384	40.52433378	42.26117245
9/1/2018 14:25	47.95437266	34.33164651	40.54146517	42.26772165
9/1/2018 14:30	47.942091	34.31590965	40.54146517	42.27994683
9/1/2018 14:35	47.95174088	34.32007529	40.53729808	42.26379213
9/1/2018 14:40	47.95042498	34.30711553	40.54424323	42.26641181
9/1/2018 14:45	47.94077511	34.3172982	40.52988991	42.26117245
9/1/2018 14:50	47.93551154	34.27008763	40.52572281	42.25811616
9/1/2018 14:55	47.9205981	34.30433843	40.53729808	42.24370792
9/1/2018 15:00	47.942091	34.30896692	40.52850087	42.24894728
9/1/2018 15:05	47.92893208	34.30711553	40.52155572	42.25549648
9/1/2018 15:10	47.91533453	34.28721303	40.42015639	42.23410242
9/1/2018 15:15	47.91401864	34.2973957	40.51275851	42.24370792
9/1/2018 15:20	47.90305287	34.29323007	40.54007614	42.2367221
9/1/2018 15:25	47.90568465	34.30433843	40.48034777	42.23803194
9/1/2018 15:30	47.90963233	34.2830474	40.51414755	42.23410242
9/1/2018 15:35	47.90700055	34.26175636	40.51877765	42.2301729
9/1/2018 15:40	47.8762964	34.27008763	40.4771067	42.23803194
9/1/2018 15:45	47.86269885	34.27193903	40.49747916	42.22755322
9/1/2018 15:50	47.86927831	34.30156134	40.50859142	42.23803194
9/1/2018 15:55	47.78418395	34.3001728	40.50442432	42.24894728
9/1/2018 16:00	47.87454187	34.30156134	40.52850087	42.20572255
9/1/2018 16:05	47.90042109	34.29600716	40.51738862	42.23934178
9/1/2018 16:10	47.89077121	34.29600716	40.51275851	42.2205674
9/1/2018 16:15	47.88945532	34.26869909	40.50998045	42.21925756
9/1/2018 16:20	47.88682353	34.29600716	40.50442432	42.22493354
9/1/2018 16:25	47.81006316	34.27749321	40.46321638	42.21008868
9/1/2018 16:30	47.88550764	34.29323007	40.33079535	42.21008868
9/1/2018 16:35	47.87761229	34.30156134	40.50859142	42.2301729
9/1/2018 16:40	47.64689255	34.29461861	40.50164626	42.21663788
9/1/2018 16:45	47.88945532	34.2973957	40.50164626	42.21794772
9/1/2018 16:50	47.90436876	34.29184152	40.47155057	42.17908913
9/1/2018 16:55	47.90963233	34.25481363	40.4859039	42.18432849
9/1/2018 17:00	47.92893208	34.30156134	40.47432863	42.20877884
9/1/2018 17:05	47.94077511	34.29878425	40.46182735	42.21794772
9/1/2018 17:10	47.942091	34.29323007	40.40163597	42.21794772
9/1/2018 17:15	47.97586556	34.29878425	40.39885791	42.23410242
9/1/2018 17:20	47.99077901	34.3001728	40.36320609	42.24239808
9/1/2018 17:25	48.00306067	34.29323007	40.36181706	42.23934178
9/1/2018 17:30	48.0135878	34.30156134	40.39052372	42.24239808
9/1/2018 17:35	48.02323768	34.3001728	40.39330178	42.25549648
9/1/2018 17:40	48.02850125	34.30433843	40.39746888	42.26903149
9/1/2018 17:45	48.02455357	34.30156134	40.40904414	42.27296102
9/1/2018 17:50	48.03551934	34.2973957	40.40765511	42.29173539
9/1/2018 17:55	48.04999415	34.30156134	40.42756456	42.29304523
9/1/2018 18:00	48.04341469	34.29600716	40.40487704	42.29304523
9/1/2018 18:05	48.03946701	34.29878425	40.40348801	42.30003105
9/1/2018 18:10	48.05832813	34.3001728	40.43034263	42.30396057
9/1/2018 18:15	48.04867826	34.2973957	40.41737833	42.31050977
9/1/2018 18:20	48.05832813	34.30433843	40.43312069	42.31356606
9/1/2018 18:25	48.05832813	34.29461861	40.43312069	42.31225622
9/1/2018 18:30	48.05701224	34.29600716	40.42015639	42.31356606
9/1/2018 18:35	48.05964403	34.30294989	40.42154543	42.31050977
9/1/2018 18:40	48.05306457	34.31035547	40.43034263	42.31225622
9/1/2018 18:45	48.04604648	34.28582449	40.41460027	42.30396057
9/1/2018 18:50	48.05701224	34.31174401	40.43450972	42.30789009
9/1/2018 18:55	48.05438046	34.31174401	40.43450972	42.30658025
9/1/2018 19:00	48.05306457	34.31035547	40.43589876	42.30527041
9/1/2018 19:05	48.04999415	34.31313256	40.43450972	42.30265073
9/1/2018 19:10	48.04736237	34.31313256	40.4247865	42.28780587
9/1/2018 19:15	48.04341469	34.31035547	40.41876736	42.29741137
9/1/2018 19:20	48.0420988	34.30572698	40.42154543	42.29479169
9/1/2018 19:25	48.03815112	34.30572698	40.41321124	42.28125667
9/1/2018 19:30	48.0420988	34.31035547	40.41737833	42.28518619
9/1/2018 19:35	48.02323768	34.29461861	40.41043317	42.28518619
9/1/2018 19:40	48.03376482	34.30156134	40.41321124	42.27165117
9/1/2018 19:45	48.03551934	34.28165885	40.40904414	42.27863699
9/1/2018 19:50	48.01929	34.30896692	40.40163597	42.27165117
9/1/2018 19:55	48.02192179	34.30156134	40.38033748	42.26641181
9/1/2018 20:00	48.0135878	34.30156134	40.39885791	42.27165117
9/1/2018 20:05	48.02323768	34.29184152	40.39746888	42.26772165
9/1/2018 20:10	48.0206059	34.2973957	40.39885791	42.25986261
9/1/2018 20:15	47.98419955	34.28721303	40.39469081	42.20572255
9/1/2018 20:20	48.02192179	34.29045297	40.40024694	42.24239808
9/1/2018 20:25	48.01095602	34.28582449	40.39469081	42.25418664
9/1/2018 20:30	48.0206059	34.29323007	40.35626093	42.21663788
